VIN (1-10),State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,2020 Census Tract
5YJXCBE27M,WA,2021,TESLA,MODEL X,BEV,False,0,53033021803
YV4H60DM8P,WA,2023,VOLVO,XC60,PHEV,True,35,53033009702
1FTBW1YK4P,WA,2023,FORD,TRANSIT,BEV,False,0,53033025202
JN1DF0BB5P,WA,2023,NISSAN,ARIYA,BEV,False,0,53033006600
WMZYU7C08L,WA,2020,MINI,COUNTRYMAN,PHEV,False,17,53033024200
KNDCC3LD9L,WA,2020,KIA,NIRO,PHEV,False,26,53067012211
KM8JFDA29P,WA,2023,HYUNDAI,TUCSON,PHEV,True,33,53033002800
JHMZC5F12L,WA,2020,HONDA,CLARITY,PHEV,True,47,53033031604
7JRBR0FZXM,WA,2021,VOLVO,S60,PHEV,False,22,53033022902
7JRBR0FMXL,WA,2020,VOLVO,S60,PHEV,False,22,53033008003
WA1G2AFY1L,WA,2020,AUDI,Q5 E,PHEV,False,20,53033032225
WBY8P4C02L,WA,2020,BMW,I3,PHEV,True,126,53033023500
3C3CFFGE0K,WA,2019,FIAT,500,BEV,True,84,53033009500
YV4BR0CM6N,WA,2022,VOLVO,XC90,PHEV,False,18,53033009600
WMW13DJ04R,WA,2024,MINI,HARDTOP,BEV,False,0,53033009300
WAUCJBFW3P,WA,2023,AUDI,E-TRON GT,BEV,False,0,53061051926
WA1F2AFY7P,WA,2023,AUDI,Q5 E,PHEV,False,23,53011040505
WA1LABGE9K,WA,2019,AUDI,E-TRON,BEV,True,204,53033001600
2T3YL4DV2C,WA,2012,TOYOTA,RAV4,BEV,True,103,53033023300
1G1RG6E42D,WA,2013,CHEVROLET,VOLT,PHEV,True,38,53033024902
WP0BA2Y13N,WA,2022,PORSCHE,TAYCAN,BEV,False,0,53033005902
LYVBR0DL8K,WA,2019,VOLVO,XC60,PHEV,False,17,53011040907
KMHE14L2XG,WA,2016,HYUNDAI,SONATA,PHEV,False,27,53033004902
KNDJP3AE6H,WA,2017,KIA,SOUL EV,BEV,True,93,53033031910
SADHB2S11L,WA,2020,JAGUAR,I-PACE,BEV,True,234,53033005803
WA1F2AFY3L,WA,2020,AUDI,Q5 E,PHEV,False,20,53033032215
5LMTJ5DZ6N,WA,2022,LINCOLN,CORSAIR,PHEV,False,28,53033022703
YV4BR0DM3M,WA,2021,VOLVO,XC60,PHEV,False,18,53033007700
3MW5P9J01M,WA,2021,BMW,330E,PHEV,False,20,53033009802
WAUSPBFF0H,WA,2017,AUDI,A3,PHEV,False,16,53033023403
KMTGE4S13P,WA,2023,GENESIS,G80,BEV,False,0,53033028200
YSMEG3KA0P,WA,2023,POLESTAR,PS2,BEV,False,0,53033028500
KNDCC3LD4N,WA,2022,KIA,NIRO,PHEV,False,26,53033030306
7FCEHEB59P,WA,2023,RIVIAN,EDV,BEV,False,0,53033029206
WBA7J2C5XJ,WA,2018,BMW,740E,PHEV,False,14,53063010702
WA1E2AFY0N,WA,2022,AUDI,Q5,PHEV,False,22,53061050502
WBY73AW06R,WA,2024,BMW,I4,BEV,False,0,53033023808
YV4H60LF3R,WA,2024,VOLVO,XC90,PHEV,True,32,53033024302
KNDC34LB1P,WA,2023,KIA,EV6,BEV,False,0,53033000602
KMHC75LD5M,WA,2021,HYUNDAI,IONIQ,PHEV,False,29,53033032220
1FMCU0EZ7M,WA,2021,FORD,ESCAPE,PHEV,True,38,53033028902
1FADP3R40F,WA,2015,FORD,FOCUS,BEV,True,76,53033004101
WVWKR7AUXJ,WA,2018,VOLKSWAGEN,E-GOLF,BEV,True,125,53033005100
1FADP3R48G,WA,2016,FORD,FOCUS,BEV,True,76,53033028901
7JRH60FF2P,WA,2023,VOLVO,S60,PHEV,True,41,53033024302
WBAJA9C05L,WA,2020,BMW,530E,PHEV,False,20,53011040608
W1KEG2CB3P,WA,2023,MERCEDES-BENZ,EQE-CLASS SEDAN,BEV,False,0,53033023902
1FTVW1EV1N,WA,2022,FORD,F-150,BEV,False,0,53035090700
YV4H60CF7R,WA,2024,VOLVO,XC90,PHEV,True,32,53033032223
WP1BH2AY7P,WA,2023,PORSCHE,CAYENNE,PHEV,False,14,53033032011
1G1RG6E41E,WA,2014,CHEVROLET,VOLT,PHEV,True,38,53011041332
WBA8E1C57H,WA,2017,BMW,330E,PHEV,False,14,53033022902
5YJXCBE47M,WA,2021,TESLA,MODEL X,BEV,False,0,53011042400
WVWKR7AU7J,WA,2018,VOLKSWAGEN,E-GOLF,BEV,True,125,53033005700
WA13ABGE4P,WA,2023,AUDI,E-TRON,BEV,False,0,53033029102
KL8CK6S00F,WA,2015,CHEVROLET,SPARK,BEV,True,82,53011040907
SADHD2S1XP,WA,2023,JAGUAR,I-PACE,BEV,False,0,53033029405
YV1H60EPXR,WA,2024,VOLVO,V60,PHEV,True,41,53011042300
KNDCD3LD2L,WA,2020,KIA,NIRO,PHEV,False,26,53033006703
WA1LABGE2M,WA,2021,AUDI,E-TRON,BEV,False,0,53033032705
KNDJP3AE4J,WA,2018,KIA,SOUL EV,BEV,True,111,53011041325
WMEFJ9BA9J,WA,2018,SMART,EQ FORTWO,BEV,True,58,53033008900
WBA7J2C35H,WA,2017,BMW,740E,PHEV,False,14,53011040412
LPSEG3KA9N,WA,2022,POLESTAR,PS2,BEV,False,0,53033027600
1FTZR0819Y,WA,2000,FORD,RANGER,BEV,True,58,53033020302
KM8KN4AE2N,WA,2022,HYUNDAI,IONIQ 5,BEV,False,0,53033023901
KNDCC3LG4M,WA,2021,KIA,NIRO,BEV,False,0,53033029309
WA1LAAGE8K,WA,2019,AUDI,E-TRON,BEV,True,204,53033004901
WAUSPBFF1G,WA,2016,AUDI,A3,PHEV,False,16,53033006100
YV4BR0DM9J,WA,2018,VOLVO,XC60,PHEV,False,17,53011040511
7JRBR0FL7M,WA,2021,VOLVO,S60,PHEV,False,22,53033005600
5YJXCDE2XM,WA,2021,TESLA,MODEL X,BEV,False,0,53033032219
JHMZC5F16L,WA,2020,HONDA,CLARITY,PHEV,True,47,53041971900
1FMCU0KZ2N,WA,2022,FORD,ESCAPE,PHEV,True,38,53011040908
YV4BR00Z0N,WA,2022,VOLVO,XC90,PHEV,False,18,53033010602
2C4RC1N7XN,WA,2022,CHRYSLER,PACIFICA,PHEV,True,32,53033030700
1FMCU0LZ7N,WA,2022,FORD,ESCAPE,PHEV,True,38,53011040510
YV1H60EP5R,WA,2024,VOLVO,V60,PHEV,True,41,53033002500
YV4H60DM8N,WA,2022,VOLVO,XC60,PHEV,True,35,53033009702
JA3215H11C,WA,2012,MITSUBISHI,I-MIEV,BEV,True,62,53033008900
WP0AE2A71J,WA,2018,PORSCHE,PANAMERA,PHEV,False,16,53033025101
YV4BR0CM6K,WA,2019,VOLVO,XC90,PHEV,False,17,53033004301
KNDJX3AE0K,WA,2019,KIA,SOUL EV,BEV,False,0,53061052505
WP1AH2AY8N,WA,2022,PORSCHE,CAYENNE,PHEV,False,14,53033023901
